Initializing I2C devices...									
Testing device connections...									
ax	ay	az			0		INC_ax	INC_ay	INC_az
69	76	2033	0	-	2033		-14	-4	32
55	72	2065	0	-	4098		10	-31	-44
65	41	2021	0	-	6119		32	17	18
97	58	2039	0	-	8158		-5	-11	-11
92	47	2028	0	-	10186		23	-7	6
115	40	2034	0	-	12220		-18	-14	-5
97	26	2029	0	-	14249		-36	-17	5
61	9	2034	0	-	16283		-44	-23	11
17	-14	2045	0	-	18328		2	22	-27
19	8	2018	0	-	20346		-2	-6	30
17	2	2048	0	-	22394		3	0	12
20	2	2060	0	-	24454		-2	-7	-24
18	-5	2036	0	-	26490		-3	-1	31
15	-6	2067	0	-	28557		-14	-2	-12
1	-8	2055	0	-	30612		2	-19	-12
3	-27	2043	0	-	32655		-12	3	10
-9	-24	2053	0	-	34708		8	-2	8
-1	-26	2061	0	-	36769		14	-11	-22
13	-37	2039	0	-	38808		-8	9	-21
5	-28	2018	0	-	40826		15	-1	30
20	-29	2048	0	-	42874		-5	3	-8
15	-26	2040	0	-	44914		-12	-1	-19
3	-27	2021	0	-	46935		14	-1	19
17	-28	2040	0	-	48975		-9	23	3
8	-5	2043	0	-	51018		-2	-15	-12
6	-20	2031	0	-	53049		14	12	23
20	-8	2054	0	-			-12	4	-21
8	-4	2033	0	-			11	16	-5
19	12	2028	0	-			0	-11	4
19	1	2032	0	-			1	11	24
20	12	2056	0	-			11	1	-27
31	13	2029	0	-			-12	20	13
19	33	2042	0	-			7	-19	9
26	14	2051	0	-			7	-2	-17
33	12	2034	0	-			-14	-1	10
19	11	2044	0	-			7	18	15
26	29	2059	0	-			3	-8	-20
29	21	2039	0	-			0	7	-5
29	28	2034	0	-			-11	5	8
18	33	2042	0	-			12	16	-4
30	49	2038	0	-			18	-9	6
48	40	2044	0	-			-24	-6	7
24	34	2051	0	-			-14	-51	16
10	-17	2067	0	-			8	3	-21
18	-14	2046	0	-			2	16	3
20	2	2049	0	-			-3	-5	-18
17	-3	2031	0	-			-3	0	-11
14	-3	2020	0	-			-3	12	17
11	9	2037	0	-			-9	-7	7
2	2	2044	0	-			14	-7	13
16	-5	2057	0	-			2	12	-37
18	7	2020	0	-			9	7	45
27	14	2065	0	-			-17	-21	-21
10	-7	2044	0	-			-14	-18	-19
-4	-25	2025	0	-			15	14	21
11	-11	2046	0	-			1	-5	17
12	-16	2063	0	-			3	-14	-25
15	-30	2038	0	-			-2	37	20
13	7	2058	0	-			2	-14	-6
15	-7	2052	0	-			-6	-11	-31
9	-18	2021	0	-			-16	17	14
-7	-1	2035	0	-			1	-5	11
-6	-6	2046	0	-			15	1	-5
9	-5	2041	0	-			-4	-17	0
5	-22	2041	0	-			1	22	7
6	0	2048	0	-			10	-11	-9
16	-11	2039	0	-			-11	5	-11
5	-6	2028	0	-			15	22	23
20	16	2051	0	-			0	-21	1
20	-5	2052	0	-			-6	-10	-11
14	-15	2041	0	-			-11	10	-3
3	-5	2038	0	-			0	-4	17
3	-9	2055	0	-			4	-20	-22
7	-29	2033	0	-			-17	47	17
-10	18	2050	0	-			34	-9	5
24	9	2055	0	-			-15	14	-18
9	23	2037	0	-			12	-29	7
21	-6	2044	0	-			-10	-5	21
11	-11	2065	0	-			11	21	-20
22	10	2045	0	-			-10	-16	8
12	-6	2053	0	-			19	8	3
31	2	2056	0	-			-7	4	-13
24	6	2043	0	-			0	6	-16
24	12	2027	0	-			-14	-14	19
10	-2	2046	0	-			4	10	15
14	8	2061	0	-			-19	-6	-44
-5	2	2017	0	-			26	8	18
21	10	2035	0	-			-2	-5	26
19	5	2061	0	-			-15	11	-27
4	16	2034	0	-			15	-27	22
